sensor_id,location,lat,lon,temperature,humidity,date,time
2266,1140,42.738,23.272,23.46,62.48,01-07-2017,00:00:07
2292,1154,42.663,23.273,23.06,59.46,01-07-2017,00:00:08
3096,1558,42.7,23.36,26.53,44.38,01-07-2017,00:00:10
3428,1727,42.624,23.406,28.34,38.28,01-07-2017,00:00:12
3472,1750,42.669,23.318,26.31,46.37,01-07-2017,00:00:13
1952,976,42.709,23.398,22.66,56.55,01-07-2017,00:00:13
1846,923,42.64,23.31,23.87,50.76,01-07-2017,00:00:15
3512,1770,42.683,23.335,24.92,55.53,01-07-2017,00:00:24
2228,1120,42.693,23.333,26.29,45.7,01-07-2017,00:00:28
3438,1732,42.738,23.293,24.62,57.97,01-07-2017,00:00:37
1954,977,42.704,23.354,26.26,44.46,01-07-2017,00:00:39
3620,1824,42.678,23.254,25.27,58.19,01-07-2017,00:00:40
3436,1731,42.693,23.359,26.57,45.01,01-07-2017,00:00:42
3092,1556,42.666,23.284,24.31,0.0,01-07-2017,00:00:44
2036,1023,42.657,23.349,24.01,51.41,01-07-2017,00:00:54
1962,981,42.69,23.324,25.95,46.26,01-07-2017,00:00:56
3474,1751,42.68,23.293,26.7,49.18,01-07-2017,00:00:58
2232,1122,42.685,23.301,25.92,50.87,01-07-2017,00:01:08
2607,1313,42.66,23.319,24.23,56.28,01-07-2017,00:01:09
2224,1118,42.651,23.335,24.99,49.53,01-07-2017,00:01:17
3738,1884,42.7,23.332,27.8,42.03,01-07-2017,00:01:17
3102,1561,42.665,23.392,25.99,43.24,01-07-2017,00:01:21
2040,1025,42.686,23.351,25.64,46.25,01-07-2017,00:01:23
2216,1114,42.664,23.373,26.79,42.78,01-07-2017,00:01:29
3432,1729,42.71,23.419,24.79,52.6,01-07-2017,00:01:32
2294,1155,42.645,23.265,24.12,45.73,01-07-2017,00:01:34
2230,1121,42.692,23.332,27.68,45.6,01-07-2017,00:01:35
2264,1139,42.671,23.31,24.99,58.61,01-07-2017,00:01:41
1850,925,42.677,23.311,24.6,58.12,01-07-2017,00:01:42
2234,1123,42.685,23.356,27.97,39.41,01-07-2017,00:01:50
3558,1793,42.671,23.364,26.69,40.99,01-07-2017,00:01:56
2262,1138,42.691,23.324,26.15,45.96,01-07-2017,00:02:04
1764,879,42.622,23.366,24.65,47.32,01-07-2017,00:02:09
3836,1933,42.702,23.371,23.92,54.59,01-07-2017,00:02:23
2038,1024,42.694,23.32,29.06,39.44,01-07-2017,00:02:24
2323,1172,42.686,23.4,24.18,52.0,01-07-2017,00:02:24
2266,1140,42.738,23.272,23.37,63.4,01-07-2017,00:02:33
2292,1154,42.663,23.273,23.14,59.66,01-07-2017,00:02:34
3096,1558,42.7,23.36,26.51,44.41,01-07-2017,00:02:38
3428,1727,42.624,23.406,28.31,39.29,01-07-2017,00:02:39
1952,976,42.709,23.398,22.64,56.36,01-07-2017,00:02:39
1846,923,42.64,23.31,23.87,49.55,01-07-2017,00:02:42
3472,1750,42.669,23.318,26.38,46.31,01-07-2017,00:02:42
3512,1770,42.683,23.335,24.89,54.95,01-07-2017,00:02:50
2228,1120,42.693,23.333,26.23,45.62,01-07-2017,00:02:55
3438,1732,42.738,23.293,24.53,57.69,01-07-2017,00:03:04
1954,977,42.704,23.354,26.18,44.79,01-07-2017,00:03:05
3436,1731,42.693,23.359,26.73,44.97,01-07-2017,00:03:10
3092,1556,42.666,23.284,24.29,0.0,01-07-2017,00:03:11
2036,1023,42.657,23.349,23.81,52.51,01-07-2017,00:03:22
1962,981,42.69,23.324,25.97,46.13,01-07-2017,00:03:23
3474,1751,42.68,23.293,26.56,50.04,01-07-2017,00:03:25
3620,1824,42.678,23.254,25.65,57.73,01-07-2017,00:03:29
2232,1122,42.685,23.301,25.59,51.97,01-07-2017,00:03:35
2607,1313,42.66,23.319,24.22,56.23,01-07-2017,00:03:36
3738,1884,42.7,23.332,27.98,41.52,01-07-2017,00:03:43
2224,1118,42.651,23.335,24.97,48.96,01-07-2017,00:03:45
3102,1561,42.665,23.392,25.85,43.55,01-07-2017,00:03:48
2040,1025,42.686,23.351,25.79,46.54,01-07-2017,00:03:49
2216,1114,42.664,23.373,26.66,43.72,01-07-2017,00:03:56
3432,1729,42.71,23.419,24.69,52.58,01-07-2017,00:03:59
2294,1155,42.645,23.265,24.07,43.36,01-07-2017,00:04:01
2230,1121,42.692,23.332,27.68,46.0,01-07-2017,00:04:02
2264,1139,42.671,23.31,24.82,58.53,01-07-2017,00:04:08
1850,925,42.677,23.311,24.55,58.07,01-07-2017,00:04:09
2234,1123,42.685,23.356,27.57,40.13,01-07-2017,00:04:16
3558,1793,42.671,23.364,26.83,40.62,01-07-2017,00:04:22
2262,1138,42.691,23.324,26.39,45.41,01-07-2017,00:04:31
1764,879,42.622,23.366,24.48,47.63,01-07-2017,00:04:35
2038,1024,42.694,23.32,29.11,39.41,01-07-2017,00:04:50
3836,1933,42.702,23.371,23.82,54.85,01-07-2017,00:04:50
2323,1172,42.686,23.4,24.19,51.68,01-07-2017,00:04:51
2266,1140,42.738,23.272,23.37,63.22,01-07-2017,00:05:00
2292,1154,42.663,23.273,23.01,59.89,01-07-2017,00:05:01
1952,976,42.709,23.398,22.53,56.76,01-07-2017,00:05:04
3428,1727,42.624,23.406,28.26,40.97,01-07-2017,00:05:05
3096,1558,42.7,23.36,26.6,44.13,01-07-2017,00:05:06
1846,923,42.64,23.31,23.76,50.51,01-07-2017,00:05:08
3472,1750,42.669,23.318,26.12,47.12,01-07-2017,00:05:10
3512,1770,42.683,23.335,24.61,56.35,01-07-2017,00:05:16
2228,1120,42.693,23.333,26.19,45.88,01-07-2017,00:05:21
3438,1732,42.738,23.293,24.45,58.63,01-07-2017,00:05:30
1954,977,42.704,23.354,26.17,44.74,01-07-2017,00:05:32
3092,1556,42.666,23.284,24.21,0.0,01-07-2017,00:05:38
3436,1731,42.693,23.359,26.62,45.41,01-07-2017,00:05:39
2036,1023,42.657,23.349,23.74,52.81,01-07-2017,00:05:49
1962,981,42.69,23.324,25.96,46.07,01-07-2017,00:05:49
3474,1751,42.68,23.293,26.69,49.69,01-07-2017,00:05:51
2232,1122,42.685,23.301,25.35,52.46,01-07-2017,00:06:01
2607,1313,42.66,23.319,24.28,55.13,01-07-2017,00:06:02
3738,1884,42.7,23.332,27.89,41.84,01-07-2017,00:06:10
2224,1118,42.651,23.335,24.98,48.77,01-07-2017,00:06:14
