sensor_id,lat,lon
2266,1,1
2292,2,3
3096,4,9
3428,5,8
3472,6,3
1952,7,0
1846,8,4
3512,24.92,55.53
2228,26.29,45.7
3438,24.62,57.97
1954,26.26,44.46
3620,25.27,58.19
3436,26.57,45.01
3092,24.31,0
2036,24.01,51.41
1962,25.95,46.26
3474,26.7,49.18
2232,25.92,50.87
2607,24.23,56.28
2224,24.99,49.53
3738,27.8,42.03
3102,25.99,43.24
2040,25.64,46.25
2216,26.79,42.78
3432,24.79,52.6
2294,24.12,45.73
2230,27.68,45.6
2264,24.99,58.61
1850,24.6,58.12
2234,27.97,39.41
3558,26.69,40.99
2262,26.15,45.96
1764,24.65,47.32
3836,23.92,54.59
2038,29.06,39.44
2323,24.18,52
2266,23.37,63.4
2292,23.14,59.66
3096,26.51,44.41
3428,28.31,39.29
1952,22.64,56.36
1846,23.87,49.55
3472,26.38,46.31
3512,24.89,54.95
2228,26.23,45.62
3438,24.53,57.69
1954,26.18,44.79
3436,26.73,44.97
3092,24.29,0
2036,23.81,52.51
1962,25.97,46.13
3474,26.56,50.04
3620,25.65,57.73
2232,25.59,51.97
2607,24.22,56.23
3738,27.98,41.52
2224,24.97,48.96
3102,25.85,43.55
2040,25.79,46.54
2216,26.66,43.72
3432,24.69,52.58
2294,24.07,43.36
2230,27.68,46
2264,24.82,58.53
1850,24.55,58.07
2234,27.57,40.13
3558,26.83,40.62
2262,26.39,45.41
1764,24.48,47.63
2038,29.11,39.41
3836,23.82,54.85
2323,24.19,51.68
2266,23.37,63.22
2292,23.01,59.89
1952,22.53,56.76
3428,28.26,40.97
3096,26.6,44.13
1846,23.76,50.51
3472,26.12,47.12
3512,24.61,56.35
2228,26.19,45.88
3438,24.45,58.63
1954,26.17,44.74
3092,24.21,0
3436,26.62,45.41
2036,23.74,52.81
1962,25.96,46.07
3474,26.69,49.69
2232,25.35,52.46
2607,24.28,55.13
3738,27.89,41.84
2224,24.98,48.77
3102,25.87,43.62
2040,25.58,46.81
3620,25.76,56.91
2216,26.29,45
3432,24.67,52.97
2294,24.1,44.9
2230,27.69,45.62
2264,24.81,58.96
1850,24.51,58.42
2234,27.83,39.79
3558,26.83,40.91
2262,26.18,45.77
1764,24.45,50.37
3836,23.7,55.52
2038,29.14,39.16
2323,24.16,51.8
2266,23.23,63.07
2292,23.16,60.24
1952,22.61,56.3
3428,28.31,40.01
3096,26.6,44.17
1846,23.75,50.22
3472,26.35,46.89
3512,24.45,58.13
2228,26.16,45.9
3438,24.41,58.05
1954,26.13,44.95
3092,24.27,0
3436,26.56,45.31
1962,25.92,46.27
2036,23.65,52.93
3474,26.67,49.5
2232,25.48,51.83
2607,24.34,55.36
3738,27.86,41.79
3102,25.86,43.61
2224,24.97,49.14
2040,25.41,46.44
2216,26.32,44.22
3432,24.58,53.35
2294,24.13,44.09
2230,27.72,45.73
2264,24.88,58.74
1850,24.47,58.73
2234,27.6,40.24
3620,25.33,58.18
3558,26.82,41.08
2262,26.08,45.59
1764,24.35,52.4
2038,29.08,39.29
3836,23.66,55.54
2323,24.19,51.94
2266,23.25,63.37
2292,23.13,59.39
1952,22.58,56.17
3428,28.32,41.26
1846,23.72,51.15
3096,26.45,44.64
3472,26.28,47.28
3512,24.7,55.89
2228,26.13,46.11
3438,24.45,58.35
1954,26.13,44.92
3092,24.32,0
3436,26.71,45
1962,25.92,46.49
2036,23.6,53.46
3474,26.56,49.67
2232,25.38,52.12
2607,24.53,55.11
3738,27.65,42.04
3102,25.82,43.76
2040,25.44,46.44
2224,24.8,50.22
2216,26.38,45.08
3432,24.68,53.18
2230,27.34,45.63
2294,23.88,45.75
2264,24.83,59.23
1850,24.43,59.06
2234,27.45,40.71
3558,26.82,41.23
2262,26.03,46.11
1764,24.1,53.94
3620,25.23,57.85
3836,23.75,54.67
2038,28.91,39.57
2323,24.23,51.77
2266,23.13,63.87
2292,23.12,60.11
1952,22.41,56.64
3428,28.16,40.45
1846,23.67,52.7
3096,26.52,44.62
3512,24.68,55.47
3472,26.5,47.15
2228,26.11,46.11
3438,24.39,58.32
1954,26.08,45.03
3092,24.28,0
3436,26.49,45.26
1962,25.9,46.52
2036,23.53,52.9
3474,26.29,49.53
2232,25.21,52.87
2607,24.26,55.62
3738,27.57,42.36
3102,25.73,44.24
2040,25.36,48.31
2224,24.87,49.38
2216,26.25,45.66
3432,24.58,53.37
2230,27.36,45.97
2294,23.9,45.23
2264,24.71,59.31
1850,24.34,59.22
2234,27.82,38.99
3558,26.72,42.47
2262,26.17,45.87
1764,23.96,53.22
2038,29.04,39.32
3836,24,53.34
2323,24.08,52.02
2266,23.47,62.36
2292,23.08,59.55
1952,22.35,56.82
3620,25.31,58.17
3428,28.19,40.26
1846,23.57,54.38
3096,26.49,44.55
3512,24.29,57.19
3472,26.33,48
2228,25.97,46.79
3438,24.34,59.66
1954,26.14,44.93
3092,24.26,0
3436,26.45,45.29
1962,25.82,46.65
3474,26.13,49.88
2036,23.82,51.82
2232,25.3,52.79
2607,24.42,55.11
3738,27.5,42.5
3102,25.56,44.66
2040,25.13,47.76
